Question_No,Question,Acceptance,isPremium,Question_Link,Solution,Tags
665, Non-decreasing Array,24.80%,FALSE,https://leetcode.com/problems/non-decreasing-array/description,https://leetcode.com/problems/non-decreasing-array/solutions,Optimization Required
666, Path Sum IV,62.50%,TRUE,https://leetcode.com/problems/path-sum-iv/description,https://leetcode.com/problems/path-sum-iv/solutions,Edge Case Intensive
667, Beautiful Arrangement II,60.30%,FALSE,https://leetcode.com/problems/beautiful-arrangement-ii/description,https://leetcode.com/problems/beautiful-arrangement-ii/solutions,Edge Case Intensive
668, Kth Smallest Number in Multiplication Table,52.20%,TRUE,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table/description,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table/solutions,Hard
669, Trim a Binary Search Tree,66.30%,FALSE,https://leetcode.com/problems/trim-a-binary-search-tree/description,https://leetcode.com/problems/trim-a-binary-search-tree/solutions,Edge Case Intensive
670, Maximum Swap,49.00%,FALSE,https://leetcode.com/problems/maximum-swap/description,https://leetcode.com/problems/maximum-swap/solutions,Edge Case Intensive
671, Second Minimum Node In a Binary Tree,44.80%,FALSE,https://leetcode.com/problems/second-minimum-node-in-a-binary-tree/description,https://leetcode.com/problems/second-minimum-node-in-a-binary-tree/solutions,Easy
672, Bulb Switcher II,50.10%,FALSE,https://leetcode.com/problems/bulb-switcher-ii/description,https://leetcode.com/problems/bulb-switcher-ii/solutions,Edge Case Intensive
673, Number of Longest Increasing Subsequence,48.80%,FALSE,https://leetcode.com/problems/number-of-longest-increasing-subsequence/description,https://leetcode.com/problems/number-of-longest-increasing-subsequence/solutions,Edge Case Intensive
674, Longest Continuous Increasing Subsequence,50.50%,FALSE,https://leetcode.com/problems/longest-continuous-increasing-subsequence/description,https://leetcode.com/problems/longest-continuous-increasing-subsequence/solutions,Easy
675, Cut Off Trees for Golf Event,34.60%,FALSE,https://leetcode.com/problems/cut-off-trees-for-golf-event/description,https://leetcode.com/problems/cut-off-trees-for-golf-event/solutions,Hard
676, Implement Magic Dictionary,57.70%,FALSE,https://leetcode.com/problems/implement-magic-dictionary/description,https://leetcode.com/problems/implement-magic-dictionary/solutions,Edge Case Intensive
677, Map Sum Pairs,56.90%,FALSE,https://leetcode.com/problems/map-sum-pairs/description,https://leetcode.com/problems/map-sum-pairs/solutions,Edge Case Intensive
678, Valid Parenthesis String,38.20%,FALSE,https://leetcode.com/problems/valid-parenthesis-string/description,https://leetcode.com/problems/valid-parenthesis-string/solutions,Tricky
679, 24 Game,49.50%,FALSE,https://leetcode.com/problems/24-game/description,https://leetcode.com/problems/24-game/solutions,Hard
680, Valid Palindrome II,41.40%,FALSE,https://leetcode.com/problems/valid-palindrome-ii/description,https://leetcode.com/problems/valid-palindrome-ii/solutions,Easy
681, Next Closest Time,46.80%,TRUE,https://leetcode.com/problems/next-closest-time/description,https://leetcode.com/problems/next-closest-time/solutions,Edge Case Intensive
682, Baseball Game,77.30%,FALSE,https://leetcode.com/problems/baseball-game/description,https://leetcode.com/problems/baseball-game/solutions,Easy
683, K Empty Slots,37.20%,TRUE,https://leetcode.com/problems/k-empty-slots/description,https://leetcode.com/problems/k-empty-slots/solutions,Hard
684, Redundant Connection,63.50%,FALSE,https://leetcode.com/problems/redundant-connection/description,https://leetcode.com/problems/redundant-connection/solutions,Edge Case Intensive
685, Redundant Connection II,34.60%,FALSE,https://leetcode.com/problems/redundant-connection-ii/description,https://leetcode.com/problems/redundant-connection-ii/solutions,Hard
686, Repeated String Match,35.60%,FALSE,https://leetcode.com/problems/repeated-string-match/description,https://leetcode.com/problems/repeated-string-match/solutions,Tricky
687, Longest Univalue Path,41.90%,FALSE,https://leetcode.com/problems/longest-univalue-path/description,https://leetcode.com/problems/longest-univalue-path/solutions,Edge Case Intensive
688, Knight Probability in Chessboard,56.30%,FALSE,https://leetcode.com/problems/knight-probability-in-chessboard/description,https://leetcode.com/problems/knight-probability-in-chessboard/solutions,Edge Case Intensive
689, Maximum Sum of 3 Non-Overlapping Subarrays,50.30%,FALSE,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays/description,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays/solutions,Hard
690, Employee Importance,67.50%,FALSE,https://leetcode.com/problems/employee-importance/description,https://leetcode.com/problems/employee-importance/solutions,Edge Case Intensive
691, Stickers to Spell Word,49.20%,FALSE,https://leetcode.com/problems/stickers-to-spell-word/description,https://leetcode.com/problems/stickers-to-spell-word/solutions,Hard
692, Top K Frequent Words,58.50%,FALSE,https://leetcode.com/problems/top-k-frequent-words/description,https://leetcode.com/problems/top-k-frequent-words/solutions,Edge Case Intensive
693, Binary Number with Alternating Bits,62.90%,FALSE,https://leetcode.com/problems/binary-number-with-alternating-bits/description,https://leetcode.com/problems/binary-number-with-alternating-bits/solutions,Easy
694, Number of Distinct Islands,61.60%,TRUE,https://leetcode.com/problems/number-of-distinct-islands/description,https://leetcode.com/problems/number-of-distinct-islands/solutions,Edge Case Intensive
695, Max Area of Island,72.50%,FALSE,https://leetcode.com/problems/max-area-of-island/description,https://leetcode.com/problems/max-area-of-island/solutions,Edge Case Intensive
696, Count Binary Substrings,65.70%,FALSE,https://leetcode.com/problems/count-binary-substrings/description,https://leetcode.com/problems/count-binary-substrings/solutions,Easy
696, Count Binary Substrings,65.70%,FALSE,https://leetcode.com/problems/count-binary-substrings/description,https://leetcode.com/problems/count-binary-substrings/solutions,MultiConcept
697, Degree of an Array,56.80%,FALSE,https://leetcode.com/problems/degree-of-an-array/description,https://leetcode.com/problems/degree-of-an-array/solutions,Easy
697, Degree of an Array,56.80%,FALSE,https://leetcode.com/problems/degree-of-an-array/description,https://leetcode.com/problems/degree-of-an-array/solutions,MultiConcept
698, Partition to K Equal Sum Subsets,38.20%,FALSE,https://leetcode.com/problems/partition-to-k-equal-sum-subsets/description,https://leetcode.com/problems/partition-to-k-equal-sum-subsets/solutions,Tricky
699, Falling Squares,45.50%,FALSE,https://leetcode.com/problems/falling-squares/description,https://leetcode.com/problems/falling-squares/solutions,Hard
700, Search in a Binary Search Tree,80.60%,FALSE,https://leetcode.com/problems/search-in-a-binary-search-tree/description,https://leetcode.com/problems/search-in-a-binary-search-tree/solutions,Easy
701, Insert into a Binary Search Tree,73.70%,FALSE,https://leetcode.com/problems/insert-into-a-binary-search-tree/description,https://leetcode.com/problems/insert-into-a-binary-search-tree/solutions,Edge Case Intensive
702, Search in a Sorted Array of Unknown Size,72.30%,TRUE,https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size/description,https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size/solutions,Edge Case Intensive
702, Search in a Sorted Array of Unknown Size,72.30%,TRUE,https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size/description,https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size/solutions,MultiConcept
703, Kth Largest Element in a Stream,59.30%,FALSE,https://leetcode.com/problems/kth-largest-element-in-a-stream/description,https://leetcode.com/problems/kth-largest-element-in-a-stream/solutions,Easy
704, Binary Search,58.40%,FALSE,https://leetcode.com/problems/binary-search/description,https://leetcode.com/problems/binary-search/solutions,Easy
705, Design HashSet,67.10%,FALSE,https://leetcode.com/problems/design-hashset/description,https://leetcode.com/problems/design-hashset/solutions,Easy
706, Design HashMap,65.60%,FALSE,https://leetcode.com/problems/design-hashmap/description,https://leetcode.com/problems/design-hashmap/solutions,Easy
707, Design Linked List,28.50%,FALSE,https://leetcode.com/problems/design-linked-list/description,https://leetcode.com/problems/design-linked-list/solutions,Tricky
707, Design Linked List,28.50%,FALSE,https://leetcode.com/problems/design-linked-list/description,https://leetcode.com/problems/design-linked-list/solutions,Optimization Required
708, Insert into a Sorted Circular Linked List,36.60%,TRUE,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list/description,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list/solutions,Tricky
709, To Lower Case,83.70%,FALSE,https://leetcode.com/problems/to-lower-case/description,https://leetcode.com/problems/to-lower-case/solutions,Easy
710, Random Pick with Blacklist,33.60%,FALSE,https://leetcode.com/problems/random-pick-with-blacklist/description,https://leetcode.com/problems/random-pick-with-blacklist/solutions,Hard
711, Number of Distinct Islands II,53.20%,TRUE,https://leetcode.com/problems/number-of-distinct-islands-ii/description,https://leetcode.com/problems/number-of-distinct-islands-ii/solutions,Hard
712, Minimum ASCII Delete Sum for Two Strings,65.30%,FALSE,https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings/description,https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings/solutions,Edge Case Intensive
713, Subarray Product Less Than K,51.80%,FALSE,https://leetcode.com/problems/subarray-product-less-than-k/description,https://leetcode.com/problems/subarray-product-less-than-k/solutions,Edge Case Intensive
714, Best Time to Buy and Sell Stock with Transaction Fee,69.30%,FALSE,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/description,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/solutions,Edge Case Intensive
715, Range Module,43.90%,FALSE,https://leetcode.com/problems/range-module/description,https://leetcode.com/problems/range-module/solutions,Hard
716, Max Stack,45.10%,TRUE,https://leetcode.com/problems/max-stack/description,https://leetcode.com/problems/max-stack/solutions,Hard
717, 1-bit and 2-bit Characters,45.20%,FALSE,https://leetcode.com/problems/1-bit-and-2-bit-characters/description,https://leetcode.com/problems/1-bit-and-2-bit-characters/solutions,Easy
718, Maximum Length of Repeated Subarray,51.00%,FALSE,https://leetcode.com/problems/maximum-length-of-repeated-subarray/description,https://leetcode.com/problems/maximum-length-of-repeated-subarray/solutions,Edge Case Intensive
719, Find K-th Smallest Pair Distance,45.30%,FALSE,https://leetcode.com/problems/find-k-th-smallest-pair-distance/description,https://leetcode.com/problems/find-k-th-smallest-pair-distance/solutions,Hard
720, Longest Word in Dictionary,52.80%,FALSE,https://leetcode.com/problems/longest-word-in-dictionary/description,https://leetcode.com/problems/longest-word-in-dictionary/solutions,Edge Case Intensive
721, Accounts Merge,57.90%,FALSE,https://leetcode.com/problems/accounts-merge/description,https://leetcode.com/problems/accounts-merge/solutions,Edge Case Intensive
722, Remove Comments,38.90%,FALSE,https://leetcode.com/problems/remove-comments/description,https://leetcode.com/problems/remove-comments/solutions,Tricky
723, Candy Crush,77.00%,TRUE,https://leetcode.com/problems/candy-crush/description,https://leetcode.com/problems/candy-crush/solutions,Edge Case Intensive
724, Find Pivot Index,58.70%,FALSE,https://leetcode.com/problems/find-pivot-index/description,https://leetcode.com/problems/find-pivot-index/solutions,Easy
725, Split Linked List in Parts,70.00%,FALSE,https://leetcode.com/problems/split-linked-list-in-parts/description,https://leetcode.com/problems/split-linked-list-in-parts/solutions,Edge Case Intensive
726, Number of Atoms,65.20%,FALSE,https://leetcode.com/problems/number-of-atoms/description,https://leetcode.com/problems/number-of-atoms/solutions,Hard
727, Minimum Window Subsequence,43.50%,TRUE,https://leetcode.com/problems/minimum-window-subsequence/description,https://leetcode.com/problems/minimum-window-subsequence/solutions,Hard
728, Self Dividing Numbers,79.00%,FALSE,https://leetcode.com/problems/self-dividing-numbers/description,https://leetcode.com/problems/self-dividing-numbers/solutions,Easy
729, My Calendar I,56.60%,FALSE,https://leetcode.com/problems/my-calendar-i/description,https://leetcode.com/problems/my-calendar-i/solutions,Edge Case Intensive
730, Count Different Palindromic Subsequences,46.00%,FALSE,https://leetcode.com/problems/count-different-palindromic-subsequences/description,https://leetcode.com/problems/count-different-palindromic-subsequences/solutions,Hard
731, My Calendar II,55.90%,FALSE,https://leetcode.com/problems/my-calendar-ii/description,https://leetcode.com/problems/my-calendar-ii/solutions,Edge Case Intensive
732, My Calendar III,71.70%,FALSE,https://leetcode.com/problems/my-calendar-iii/description,https://leetcode.com/problems/my-calendar-iii/solutions,Hard
733, Flood Fill,64.90%,FALSE,https://leetcode.com/problems/flood-fill/description,https://leetcode.com/problems/flood-fill/solutions,Easy
734, Sentence Similarity,44.40%,TRUE,https://leetcode.com/problems/sentence-similarity/description,https://leetcode.com/problems/sentence-similarity/solutions,Easy
735, Asteroid Collision,44.70%,FALSE,https://leetcode.com/problems/asteroid-collision/description,https://leetcode.com/problems/asteroid-collision/solutions,Edge Case Intensive
736, Parse Lisp Expression,52.00%,FALSE,https://leetcode.com/problems/parse-lisp-expression/description,https://leetcode.com/problems/parse-lisp-expression/solutions,Hard
737, Sentence Similarity II,50.20%,TRUE,https://leetcode.com/problems/sentence-similarity-ii/description,https://leetcode.com/problems/sentence-similarity-ii/solutions,Edge Case Intensive
738, Monotone Increasing Digits,48.40%,FALSE,https://leetcode.com/problems/monotone-increasing-digits/description,https://leetcode.com/problems/monotone-increasing-digits/solutions,Edge Case Intensive
739, Daily Temperatures,66.40%,FALSE,https://leetcode.com/problems/daily-temperatures/description,https://leetcode.com/problems/daily-temperatures/solutions,Edge Case Intensive
740, Delete and Earn,56.50%,FALSE,https://leetcode.com/problems/delete-and-earn/description,https://leetcode.com/problems/delete-and-earn/solutions,Edge Case Intensive
741, Cherry Pickup,37.30%,FALSE,https://leetcode.com/problems/cherry-pickup/description,https://leetcode.com/problems/cherry-pickup/solutions,Hard
742, Closest Leaf in a Binary Tree,46.50%,TRUE,https://leetcode.com/problems/closest-leaf-in-a-binary-tree/description,https://leetcode.com/problems/closest-leaf-in-a-binary-tree/solutions,Edge Case Intensive
743, Network Delay Time,55.10%,FALSE,https://leetcode.com/problems/network-delay-time/description,https://leetcode.com/problems/network-delay-time/solutions,Edge Case Intensive
744, Find Smallest Letter Greater Than Target,52.80%,FALSE,https://leetcode.com/problems/find-smallest-letter-greater-than-target/description,https://leetcode.com/problems/find-smallest-letter-greater-than-target/solutions,Easy
745, Prefix and Suffix Search,41.10%,FALSE,https://leetcode.com/problems/prefix-and-suffix-search/description,https://leetcode.com/problems/prefix-and-suffix-search/solutions,Hard
746, Min Cost Climbing Stairs,66.30%,FALSE,https://leetcode.com/problems/min-cost-climbing-stairs/description,https://leetcode.com/problems/min-cost-climbing-stairs/solutions,Easy
747, Largest Number At Least Twice of Others,49.50%,FALSE,https://leetcode.com/problems/largest-number-at-least-twice-of-others/description,https://leetcode.com/problems/largest-number-at-least-twice-of-others/solutions,Easy
748, Shortest Completing Word,60.50%,FALSE,https://leetcode.com/problems/shortest-completing-word/description,https://leetcode.com/problems/shortest-completing-word/solutions,Easy
749, Contain Virus,51.60%,FALSE,https://leetcode.com/problems/contain-virus/description,https://leetcode.com/problems/contain-virus/solutions,Hard
750, Number Of Corner Rectangles,67.80%,TRUE,https://leetcode.com/problems/number-of-corner-rectangles/description,https://leetcode.com/problems/number-of-corner-rectangles/solutions,Edge Case Intensive
751, IP to CIDR,55.60%,TRUE,https://leetcode.com/problems/ip-to-cidr/description,https://leetcode.com/problems/ip-to-cidr/solutions,Edge Case Intensive
752, Open the Lock,60.40%,FALSE,https://leetcode.com/problems/open-the-lock/description,https://leetcode.com/problems/open-the-lock/solutions,Edge Case Intensive
753, Cracking the Safe,57.20%,FALSE,https://leetcode.com/problems/cracking-the-safe/description,https://leetcode.com/problems/cracking-the-safe/solutions,Hard
754, Reach a Number,43.40%,FALSE,https://leetcode.com/problems/reach-a-number/description,https://leetcode.com/problems/reach-a-number/solutions,Edge Case Intensive
755, Pour Water,47.20%,TRUE,https://leetcode.com/problems/pour-water/description,https://leetcode.com/problems/pour-water/solutions,Edge Case Intensive
756, Pyramid Transition Matrix,52.90%,FALSE,https://leetcode.com/problems/pyramid-transition-matrix/description,https://leetcode.com/problems/pyramid-transition-matrix/solutions,Edge Case Intensive
757, Set Intersection Size At Least Two,44.70%,FALSE,https://leetcode.com/problems/set-intersection-size-at-least-two/description,https://leetcode.com/problems/set-intersection-size-at-least-two/solutions,Hard
758, Bold Words in String,51.60%,TRUE,https://leetcode.com/problems/bold-words-in-string/description,https://leetcode.com/problems/bold-words-in-string/solutions,Edge Case Intensive
759, Employee Free Time,72.30%,TRUE,https://leetcode.com/problems/employee-free-time/description,https://leetcode.com/problems/employee-free-time/solutions,Hard
760, Find Anagram Mappings,83.70%,TRUE,https://leetcode.com/problems/find-anagram-mappings/description,https://leetcode.com/problems/find-anagram-mappings/solutions,Easy
761, Special Binary String,61.80%,FALSE,https://leetcode.com/problems/special-binary-string/description,https://leetcode.com/problems/special-binary-string/solutions,Hard
762, Prime Number of Set Bits in Binary Representation,70.00%,FALSE,https://leetcode.com/problems/prime-number-of-set-bits-in-binary-representation/description,https://leetcode.com/problems/prime-number-of-set-bits-in-binary-representation/solutions,Easy
763, Partition Labels,80.00%,FALSE,https://leetcode.com/problems/partition-labels/description,https://leetcode.com/problems/partition-labels/solutions,Edge Case Intensive
764, Largest Plus Sign,48.50%,FALSE,https://leetcode.com/problems/largest-plus-sign/description,https://leetcode.com/problems/largest-plus-sign/solutions,Edge Case Intensive
765, Couples Holding Hands,57.60%,FALSE,https://leetcode.com/problems/couples-holding-hands/description,https://leetcode.com/problems/couples-holding-hands/solutions,Hard
766, Toeplitz Matrix,69.10%,FALSE,https://leetcode.com/problems/toeplitz-matrix/description,https://leetcode.com/problems/toeplitz-matrix/solutions,Easy
767, Reorganize String,55.00%,FALSE,https://leetcode.com/problems/reorganize-string/description,https://leetcode.com/problems/reorganize-string/solutions,Edge Case Intensive
768, Max Chunks To Make Sorted II,53.40%,FALSE,https://leetcode.com/problems/max-chunks-to-make-sorted-ii/description,https://leetcode.com/problems/max-chunks-to-make-sorted-ii/solutions,Hard
769, Max Chunks To Make Sorted,58.60%,FALSE,https://leetcode.com/problems/max-chunks-to-make-sorted/description,https://leetcode.com/problems/max-chunks-to-make-sorted/solutions,Edge Case Intensive
800, Similar RGB Color,67.60%,TRUE,https://leetcode.com/problems/similar-rgb-color/description,https://leetcode.com/problems/similar-rgb-color/solutions,Easy
801, Minimum Swaps To Make Sequences Increasing,40.30%,FALSE,https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing/description,https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing/solutions,Hard
802, Find Eventual Safe States,64.20%,FALSE,https://leetcode.com/problems/find-eventual-safe-states/description,https://leetcode.com/problems/find-eventual-safe-states/solutions,Edge Case Intensive
803, Bricks Falling When Hit,35.00%,FALSE,https://leetcode.com/problems/bricks-falling-when-hit/description,https://leetcode.com/problems/bricks-falling-when-hit/solutions,Hard
804, Unique Morse Code Words,83.00%,FALSE,https://leetcode.com/problems/unique-morse-code-words/description,https://leetcode.com/problems/unique-morse-code-words/solutions,Easy
805, Split Array With Same Average,25.60%,FALSE,https://leetcode.com/problems/split-array-with-same-average/description,https://leetcode.com/problems/split-array-with-same-average/solutions,Hard
805, Split Array With Same Average,25.60%,FALSE,https://leetcode.com/problems/split-array-with-same-average/description,https://leetcode.com/problems/split-array-with-same-average/solutions,Optimization Required
806, Number of Lines To Write String,69.20%,FALSE,https://leetcode.com/problems/number-of-lines-to-write-string/description,https://leetcode.com/problems/number-of-lines-to-write-string/solutions,Easy
807, Max Increase to Keep City Skyline,86.20%,FALSE,https://leetcode.com/problems/max-increase-to-keep-city-skyline/description,https://leetcode.com/problems/max-increase-to-keep-city-skyline/solutions,Edge Case Intensive
808, Soup Servings,53.80%,FALSE,https://leetcode.com/problems/soup-servings/description,https://leetcode.com/problems/soup-servings/solutions,Edge Case Intensive
809, Expressive Words,46.20%,FALSE,https://leetcode.com/problems/expressive-words/description,https://leetcode.com/problems/expressive-words/solutions,Edge Case Intensive
810, Chalkboard XOR Game,61.10%,FALSE,https://leetcode.com/problems/chalkboard-xor-game/description,https://leetcode.com/problems/chalkboard-xor-game/solutions,Hard
811, Subdomain Visit Count,76.50%,FALSE,https://leetcode.com/problems/subdomain-visit-count/description,https://leetcode.com/problems/subdomain-visit-count/solutions,Edge Case Intensive
812, Largest Triangle Area,61.10%,FALSE,https://leetcode.com/problems/largest-triangle-area/description,https://leetcode.com/problems/largest-triangle-area/solutions,Easy
813, Largest Sum of Averages,53.80%,FALSE,https://leetcode.com/problems/largest-sum-of-averages/description,https://leetcode.com/problems/largest-sum-of-averages/solutions,Edge Case Intensive
814, Binary Tree Pruning,72.30%,FALSE,https://leetcode.com/problems/binary-tree-pruning/description,https://leetcode.com/problems/binary-tree-pruning/solutions,Edge Case Intensive
815, Bus Routes,47.50%,FALSE,https://leetcode.com/problems/bus-routes/description,https://leetcode.com/problems/bus-routes/solutions,Hard
816, Ambiguous Coordinates,56.90%,FALSE,https://leetcode.com/problems/ambiguous-coordinates/description,https://leetcode.com/problems/ambiguous-coordinates/solutions,Edge Case Intensive
817, Linked List Components,57.00%,FALSE,https://leetcode.com/problems/linked-list-components/description,https://leetcode.com/problems/linked-list-components/solutions,Edge Case Intensive
818, Race Car,43.80%,FALSE,https://leetcode.com/problems/race-car/description,https://leetcode.com/problems/race-car/solutions,Hard
819, Most Common Word,44.40%,FALSE,https://leetcode.com/problems/most-common-word/description,https://leetcode.com/problems/most-common-word/solutions,Easy
820, Short Encoding of Words,60.50%,FALSE,https://leetcode.com/problems/short-encoding-of-words/description,https://leetcode.com/problems/short-encoding-of-words/solutions,Edge Case Intensive
821, Shortest Distance to a Character,71.80%,FALSE,https://leetcode.com/problems/shortest-distance-to-a-character/description,https://leetcode.com/problems/shortest-distance-to-a-character/solutions,Easy
822, Card Flipping Game,48.10%,FALSE,https://leetcode.com/problems/card-flipping-game/description,https://leetcode.com/problems/card-flipping-game/solutions,Edge Case Intensive
823, Binary Trees With Factors,52.90%,FALSE,https://leetcode.com/problems/binary-trees-with-factors/description,https://leetcode.com/problems/binary-trees-with-factors/solutions,Edge Case Intensive
824, Goat Latin,68.60%,FALSE,https://leetcode.com/problems/goat-latin/description,https://leetcode.com/problems/goat-latin/solutions,Easy
825, Friends Of Appropriate Ages,48.00%,FALSE,https://leetcode.com/problems/friends-of-appropriate-ages/description,https://leetcode.com/problems/friends-of-appropriate-ages/solutions,Edge Case Intensive
826, Most Profit Assigning Work,55.90%,FALSE,https://leetcode.com/problems/most-profit-assigning-work/description,https://leetcode.com/problems/most-profit-assigning-work/solutions,Edge Case Intensive
827, Making A Large Island,48.60%,FALSE,https://leetcode.com/problems/making-a-large-island/description,https://leetcode.com/problems/making-a-large-island/solutions,Hard
828, Count Unique Characters of All Substrings of a Given String,52.70%,FALSE,https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string/description,https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string/solutions,Hard
828, Count Unique Characters of All Substrings of a Given String,52.70%,FALSE,https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string/description,https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string/solutions,MultiConcept
829, Consecutive Numbers Sum,41.90%,FALSE,https://leetcode.com/problems/consecutive-numbers-sum/description,https://leetcode.com/problems/consecutive-numbers-sum/solutions,Hard
830, Positions of Large Groups,52.50%,FALSE,https://leetcode.com/problems/positions-of-large-groups/description,https://leetcode.com/problems/positions-of-large-groups/solutions,Easy
831, Masking Personal Information,49.60%,FALSE,https://leetcode.com/problems/masking-personal-information/description,https://leetcode.com/problems/masking-personal-information/solutions,Edge Case Intensive
832, Flipping an Image,82.40%,FALSE,https://leetcode.com/problems/flipping-an-image/description,https://leetcode.com/problems/flipping-an-image/solutions,Easy
833, Find And Replace in String,52.10%,FALSE,https://leetcode.com/problems/find-and-replace-in-string/description,https://leetcode.com/problems/find-and-replace-in-string/solutions,Edge Case Intensive
834, Sum of Distances in Tree,65.30%,FALSE,https://leetcode.com/problems/sum-of-distances-in-tree/description,https://leetcode.com/problems/sum-of-distances-in-tree/solutions,Hard
835, Image Overlap,63.70%,FALSE,https://leetcode.com/problems/image-overlap/description,https://leetcode.com/problems/image-overlap/solutions,Edge Case Intensive
836, Rectangle Overlap,45.10%,FALSE,https://leetcode.com/problems/rectangle-overlap/description,https://leetcode.com/problems/rectangle-overlap/solutions,Easy
837, New 21 Game,45.00%,FALSE,https://leetcode.com/problems/new-21-game/description,https://leetcode.com/problems/new-21-game/solutions,Edge Case Intensive
838, Push Dominoes,57.20%,FALSE,https://leetcode.com/problems/push-dominoes/description,https://leetcode.com/problems/push-dominoes/solutions,Edge Case Intensive
839, Similar String Groups,55.10%,FALSE,https://leetcode.com/problems/similar-string-groups/description,https://leetcode.com/problems/similar-string-groups/solutions,Hard
840, Magic Squares In Grid,51.70%,FALSE,https://leetcode.com/problems/magic-squares-in-grid/description,https://leetcode.com/problems/magic-squares-in-grid/solutions,Edge Case Intensive
841, Keys and Rooms,73.60%,FALSE,https://leetcode.com/problems/keys-and-rooms/description,https://leetcode.com/problems/keys-and-rooms/solutions,Edge Case Intensive
842, Split Array into Fibonacci Sequence,39.20%,FALSE,https://leetcode.com/problems/split-array-into-fibonacci-sequence/description,https://leetcode.com/problems/split-array-into-fibonacci-sequence/solutions,Tricky
842, Split Array into Fibonacci Sequence,39.20%,FALSE,https://leetcode.com/problems/split-array-into-fibonacci-sequence/description,https://leetcode.com/problems/split-array-into-fibonacci-sequence/solutions,MultiConcept
843, Guess the Word,38.60%,FALSE,https://leetcode.com/problems/guess-the-word/description,https://leetcode.com/problems/guess-the-word/solutions,Hard
844, Backspace String Compare,49.30%,FALSE,https://leetcode.com/problems/backspace-string-compare/description,https://leetcode.com/problems/backspace-string-compare/solutions,Easy
845, Longest Mountain in Array,40.60%,FALSE,https://leetcode.com/problems/longest-mountain-in-array/description,https://leetcode.com/problems/longest-mountain-in-array/solutions,Edge Case Intensive
845, Longest Mountain in Array,40.60%,FALSE,https://leetcode.com/problems/longest-mountain-in-array/description,https://leetcode.com/problems/longest-mountain-in-array/solutions,MultiConcept
846, Hand of Straights,56.80%,FALSE,https://leetcode.com/problems/hand-of-straights/description,https://leetcode.com/problems/hand-of-straights/solutions,Edge Case Intensive
847, Shortest Path Visiting All Nodes,65.40%,FALSE,https://leetcode.com/problems/shortest-path-visiting-all-nodes/description,https://leetcode.com/problems/shortest-path-visiting-all-nodes/solutions,Hard
848, Shifting Letters,44.80%,FALSE,https://leetcode.com/problems/shifting-letters/description,https://leetcode.com/problems/shifting-letters/solutions,Edge Case Intensive
849, Maximize Distance to Closest Person,48.30%,FALSE,https://leetcode.com/problems/maximize-distance-to-closest-person/description,https://leetcode.com/problems/maximize-distance-to-closest-person/solutions,Edge Case Intensive
850, Rectangle Area II,54.30%,FALSE,https://leetcode.com/problems/rectangle-area-ii/description,https://leetcode.com/problems/rectangle-area-ii/solutions,Hard
851, Loud and Rich,60.20%,FALSE,https://leetcode.com/problems/loud-and-rich/description,https://leetcode.com/problems/loud-and-rich/solutions,Edge Case Intensive
852, Peak Index in a Mountain Array,68.20%,FALSE,https://leetcode.com/problems/peak-index-in-a-mountain-array/description,https://leetcode.com/problems/peak-index-in-a-mountain-array/solutions,Edge Case Intensive
852, Peak Index in a Mountain Array,68.20%,FALSE,https://leetcode.com/problems/peak-index-in-a-mountain-array/description,https://leetcode.com/problems/peak-index-in-a-mountain-array/solutions,MultiConcept
853, Car Fleet,51.90%,FALSE,https://leetcode.com/problems/car-fleet/description,https://leetcode.com/problems/car-fleet/solutions,Edge Case Intensive
854, K-Similar Strings,40.00%,FALSE,https://leetcode.com/problems/k-similar-strings/description,https://leetcode.com/problems/k-similar-strings/solutions,Hard
855, Exam Room,43.60%,FALSE,https://leetcode.com/problems/exam-room/description,https://leetcode.com/problems/exam-room/solutions,Edge Case Intensive
856, Score of Parentheses,64.00%,FALSE,https://leetcode.com/problems/score-of-parentheses/description,https://leetcode.com/problems/score-of-parentheses/solutions,Edge Case Intensive
857, Minimum Cost to Hire K Workers,63.50%,FALSE,https://leetcode.com/problems/minimum-cost-to-hire-k-workers/description,https://leetcode.com/problems/minimum-cost-to-hire-k-workers/solutions,Hard
